,fwy,dir,link,from_node,to_node,geometry,vds,Cluster_Labels,geometry_station
85,I105,E,865313355_1,384403181,384403440,"LINESTRING (1987406.1276216481 545815.6453043323, 1987630.765550148 545815.7097349063)",760301,7,POINT (1986735.555509439 545811.2092376946)
86,I105,E,865313356_0,384403440,384342280,"LINESTRING (1987630.765550148 545815.7097349063, 1987692.6816446187 545815.4500767016)",716466,3,POINT (1987859.8606393365 545815.4409997816)
87,I105,E,864577116_0,384342280,384406710,"LINESTRING (1987692.6816446187 545815.4500767016, 1988967.4824198259 545867.8586281864)",716466,3,POINT (1987859.8606393365 545815.4409997816)
88,I105,E,123951216_0,384406710,359033520,"LINESTRING (1988967.4824198259 545867.8586281864, 1989296.9828637568 545891.688124184)",716470,9,POINT (1989462.0096493769 545895.2377207093)
89,I105,E,34580942_0,359033520,1390091918,"LINESTRING (1989296.9828637568 545891.688124184, 1989504.1013910929 545898.5510975028)",716470,9,POINT (1989462.0096493769 545895.2377207093)
90,I105,E,125083405_0,1390091918,359145511,"LINESTRING (1989504.1013910929 545898.5510975028, 1989681.307468015 545901.9133649169)",716470,9,POINT (1989462.0096493769 545895.2377207093)
91,I105,E,32018786_0,359145511,5753117274,"LINESTRING (1989681.307468015 545901.9133649169, 1989792.55569564 545904.8187669759)",716470,9,POINT (1989462.0096493769 545895.2377207093)
92,I105,E,606916050_0,5753117274,359145741,"LINESTRING (1989792.55569564 545904.8187669759, 1989892.8506355868 545904.4984221011)",716470,9,POINT (1989462.0096493769 545895.2377207093)
93,I105,E,32018794_0,359145741,1390091925,"LINESTRING (1989892.8506355868 545904.4984221011, 1990677.8865960795 545955.1800310332)",716470,9,POINT (1989462.0096493769 545895.2377207093)
94,I105,W,571848661_0,1390091928,359152237,"LINESTRING (1990739.7642547167 545972.9325771441, 1990507.6966199651 545974.5199268238)",760358,9,POINT (1990422.395583426 545958.9782317044)
95,I105,W,125083422_0,359152237,359152243,"LINESTRING (1990507.6966199651 545974.5199268238, 1990167.5696416646 545926.8766524171)",760358,9,POINT (1990422.395583426 545958.9782317044)
96,I105,W,125083404_0,359152243,359152247,"LINESTRING (1990167.5696416646 545926.8766524171, 1989917.0855691023 545926.157746778)",760358,9,POINT (1990422.395583426 545958.9782317044)
97,I105,W,125083399_0,359152247,359152248,"LINESTRING (1989917.0855691023 545926.157746778, 1989789.535478981 545925.2099164363)",760358,9,POINT (1990422.395583426 545958.9782317044)
98,I105,W,32019068_0,359152248,359152284,"LINESTRING (1989789.535478981 545925.2099164363, 1989669.4306838866 545924.8434564164)",716471,9,POINT (1989462.3273289138 545930.7330444444)
99,I105,W,32019073_0,359152284,359033574,"LINESTRING (1989669.4306838866 545924.8434564164, 1989494.320929298 545934.8232049996)",716471,9,POINT (1989462.3273289138 545930.7330444444)
100,I105,W,123951213_0,359033574,384342345,"LINESTRING (1989494.320929298 545934.8232049996, 1988848.9309172092 545898.6705755193)",760375,7,POINT (1988181.8283428368 545846.3066768447)
101,I105,W,865303190_0,384342345,384342350,"LINESTRING (1988848.9309172092 545898.6705755193, 1988148.381223407 545856.1993138294)",760375,7,POINT (1988181.8283428368 545846.3066768447)
102,I105,W,349444407_0,384342350,384405132,"LINESTRING (1988148.381223407 545856.1993138294, 1987980.2115851424 545854.7846560797)",760375,7,POINT (1988181.8283428368 545846.3066768447)
103,I105,W,349444389_0,384405132,3553217300,"LINESTRING (1987980.2115851424 545854.7846560797, 1987883.45756948 545854.6551392039)",760384,7,POINT (1987378.4409317789 545844.5896622945)
104,I105,W,349444398_0,3553217300,384456509,"LINESTRING (1987883.45756948 545854.6551392039, 1987506.9578013837 545855.0536725259)",760384,7,POINT (1987378.4409317789 545844.5896622945)
105,I105,W,123951214_0,384456509,384455290,"LINESTRING (1987506.9578013837 545855.0536725259, 1986566.8254526714 545845.1280770453)",760384,7,POINT (1987378.4409317789 545844.5896622945)
106,I105,W,349444381_0,384455290,3553217298,"LINESTRING (1986566.8254526714 545845.1280770453, 1986497.3585073191 545842.2337709586)",716461,9,POINT (1986250.6027616842 545825.557530249)
107,I105,W,349444436_0,3553217298,384454290,"LINESTRING (1986497.3585073191 545842.2337709586, 1985777.3374573144 545783.1311983063)",716461,9,POINT (1986250.6027616842 545825.557530249)
108,I105,W,865338800_0,384454290,384342358,"LINESTRING (1985777.3374573144 545783.1311983063, 1985568.987796274 545761.24530187)",716459,4,POINT (1985610.9018530876 545761.9678903936)
109,I105,W,349444422_0,384342358,384342360,"LINESTRING (1985568.987796274 545761.24530187, 1985110.6558227453 545709.6895827232)",716459,4,POINT (1985610.9018530876 545761.9678903936)
110,I105,W,349444429_0,384342360,384443318,"LINESTRING (1985110.6558227453 545709.6895827232, 1984567.8397741378 545655.3013650229)",716457,4,POINT (1984814.4890741042 545675.7156382726)
111,I105,W,349444415_0,384443318,384342365,"LINESTRING (1984567.8397741378 545655.3013650229, 1984293.4699961853 545633.6648009854)",716457,4,POINT (1984814.4890741042 545675.7156382726)
112,I105,W,33620705_0,384342365,384342372,"LINESTRING (1984293.4699961853 545633.6648009854, 1983683.5524754706 545692.8395596651)",716457,4,POINT (1984814.4890741042 545675.7156382726)
113,I105,W,119361813_0,384342372,384453699,"LINESTRING (1983683.5524754706 545692.8395596651, 1983588.7089102615 545733.4494515705)",716457,4,POINT (1984814.4890741042 545675.7156382726)
114,I105,W,398543389_0,384453699,4012926757,"LINESTRING (1983588.7089102615 545733.4494515705, 1983343.4195763248 545832.7191250111)",716457,4,POINT (1984814.4890741042 545675.7156382726)
115,I105,W,398543385_0,4012926757,1341363399,"LINESTRING (1983343.4195763248 545832.7191250111, 1983285.1163791337 545856.8721271686)",716457,4,POINT (1984814.4890741042 545675.7156382726)
116,I105,W,398543387_0,1341363399,4012926758,"LINESTRING (1983285.1163791337 545856.8721271686, 1983214.6286013196 545883.3103406942)",716457,4,POINT (1984814.4890741042 545675.7156382726)
117,I105,W,119361782_0,4012926758,1341363390,"LINESTRING (1983214.6286013196 545883.3103406942, 1983002.1858005114 545966.822911951)",716457,4,POINT (1984814.4890741042 545675.7156382726)
118,I105,W,119361779_0,1341363390,1341363398,"LINESTRING (1983002.1858005114 545966.822911951, 1982953.0418254687 545987.0123550455)",716450,10,POINT (1982072.1686215552 546389.5159768814)
119,I105,W,119361806_0,1341363398,384342377,"LINESTRING (1982953.0418254687 545987.0123550455, 1982685.719940539 546096.7666851861)",716450,10,POINT (1982072.1686215552 546389.5159768814)
120,I105,W,119361806_1,384342377,384342378,"LINESTRING (1982685.719940539 546096.7666851861, 1982492.219067367 546176.4620472294)",716450,10,POINT (1982072.1686215552 546389.5159768814)
